trailingPE,averageVolume,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,enterpriseValue,profitMargins,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,netIncomeToCommon,trailingEps,enterpriseToRevenue,totalCash,totalCashPerShare,totalDebt,totalRevenue,debtToEquity,earningsGrowth,revenueGrowth,ebitdaMargins,operatingMargins,currentPrice
39.46418,86530,17874137088,431.05,739.5,3.1677825,19431084032,0.080290005,26815900,0.49273998,0.06426,113.26,5.8851314,453043008,16.89,3.444,102440000,3.823,2350183936,5642476032,76.545,-0.379,-0.173,0.17933,0.12788,666.55
18.757687,2033100,56615620608,66.2,155.5,2.7643788,53936377856,0.14749,371249984,0.70134,0.01952,29.344,5.196974,3020699904,8.13,2.634,3031324928,8.165,2058782976,20480413696,17.978,1.114,0.448,0.22333,0.21761,152.5
33.283047,445981,189378756608,723.8,1778.35,2.9336486,182277521408,0.087740004,110764000,0.24114001,0.47370997,313.516,5.4534698,5664000000,51.37,2.824,7977999872,72.15,12211999744,64554000384,35.259,0.438,0.349,0.15507,0.13287,1709.75
14.924127,8367750,180632551424,66.95,98.65,1.3244729,151163600896,0.08876,1836630016,0.51296,0.21731001,71.598,1.3736417,12105100288,6.59,1.108,22630799360,12.341,1046099968,136380702720,0.797,-0.401,-0.16,0.15943,0.10464,98.35
44.51282,651135,29079042048,111.55,180,1.6932096,32886306816,0.03597,167352000,0.48727,0.10741,52.158,3.3283486,673972992,3.9,1.915,937424000,5.967,8005438976,17173916672,97.143,1.541,0.093,0.11626001,0.08397,173.6
46.74552,1893196,134233243648,174.55,371.65,5.210452,122581254144,0.111619994,367208992,0.71816003,0.18511,42.183,8.665813,2875709952,7.82,4.758,2810715904,7.654,465356992,25762301952,3,0.985,0.151,0.14124,0.13059,365.55
140.60434,83401,558556053504,2933,6614.35,20.428492,504302632960,0.14632,85284200,0.77409,0.09278,368.192,17.787867,4000800000,46.58,18.444,11866090496,139.136,220490000,27342010368,0.702,-0.419,0.226,0.24055,0.16593,6549.35
37.428978,10602065,117527060480,116,165.45,24.079708,105140314112,0.64045,891692992,0.17525999,0.29583,8.956,14.710808,3125874944,3.52,21.542,7541006848,8.453,140975008,4880751104,1.764,0.104,0.123,0.8632,0.81759,131.75
4.1786056,5747778,65701998592,26.3,44.3,1.8622065,48509984768,0.4428,1500000000,0.89932,0.02331,10.033,4.36061,15622700032,10.47,1.375,13459699712,9.565,2025400064,35281801216,14.347,-0.911,-0.686,-0.030639999,-0.03214,43.75
37.6371,4855197,102547759104,80.2,234.65,2.5158231,104864104448,0.06465,439459008,0.53169,0.01951,52.703,4.427642,2635272960,6.2,2.573,2128387968,4.848,8421234176,40761114624,36.973,1.163,-0.091,0.11295,0.101619996,233.35
39.736004,53419,46435663872,583.85,1262.95,7.051847,43968360448,0.1904,41406700,0.85138,0.0923,84.548,13.26288,1253764992,28.22,6.677,774697024,18.719,170191008,6584893952,4.863,0.449,0.325,0,0.25562,1121.35
7.6625657,2046598,20806965248,25.2,44.65,1.8572822,-5930697728,0.24337,477224000,0.74976,0.00348,67.273,0.64810544,2726479872,5.69,-0.529,26927720448,56.227,275969984,11202910208,0.848,2.296,-0.036,0.124230005,0.02382,43.6
23.255922,11828558,816096083968,182.35,255.95,1.4618334,1254649364480,0.06295,3195340032,0.47175,0.18021,93.958,2.7177038,35143299072,10.98,2.247,124877897728,39.081,534993108992,558268874752,150.96,0.226,0.05,0.16290002,0.103549995,255.35
62.870853,484173,30930057216,160.3,378.75,2.4751432,30619381760,0.03704,85857200,0.80887,4.00E-05,44.546,8.087146,462900000,5.73,2.45,180880992,2.107,1177703040,12496270336,30.812,0.862,0.368,0.03039,0.01868,360.25
9.174167,57755,31176298496,766.55,1206.95,1.3744345,10117639168,0.14977,29111600,0.75041,0.0072600003,962.657,1.1118705,3397199872,116.67,0.446,19936899072,685.415,198100000,22683000832,0.706,-0.728,-0.604,0.12001,0.11062,1070.35
6.076563,8007088,2287123824640,121.5,184.75,0.37294778,3547418066944,0.06137,12580299776,0.69198996,0.23076001,223.085,0.81471187,376377475072,29.91,0.578,367917400064,29.246,1498274070528,6132557938688,49.734,0.183,-0.104,0.15138,0.10414,181.75
92.60593,263134,138341892096,996.35,2485,29.139332,132292009984,0.2856,55984000,0.66503996,0.117410004,208.467,11.847439,1355900032,26.67,27.865,6002100224,107.211,24900000,4747599872,0.213,0.676,0.312,0.37695,0.36199,2469.8
13.818393,16197560,111639240704,38.6,119.8,1.0072862,70096560128,0.0729,940515968,0.73183,0.0068699997,55.469,2.1399338,8080200192,8.59,0.632,52225499136,55.47,15047199744,110831697920,28.8,0.292,0.357,0.06865,0.05864,118.7
21.246126,203596,83277037568,575,1110.3,5.494223,75619524608,0.2604,75933696,0.74706,0.013459999,237.923,4.6077933,3947000064,51.6,4.989,7245799936,95.423,52000000,15157199872,0.273,0.219,0.141,0.30688,0.2771,1096.3
34.271534,201986,76109299712,652,934.15,15.291866,118104760320,0.4946,88108096,0.61597997,0.15291001,206.476,4.1811156,2461669888,25.19,23.73,3605690112,40.966,48282460160,4977110016,265.677,0.335,0.292,0,0.62189,863.3
18.473503,595576,36284960768,88.45,163.5,2.0219646,37936066560,0.10899,226212992,0.6386,0.11161,50.851,3.1533303,1955900032,8.68,2.114,247100000,1.092,2878299904,17945399296,25.013,0.041,0.141,0.15878999,0.14171,160.35
41.999203,2845829,145498079232,250.25,530.9,2.9674544,126216437760,0.07106,275382016,0.42801997,0.31276,89.139,5.9272594,3484019968,12.58,2.574,10332329984,37.619,1018310016,49031278592,4.159,0.158,0.094,0.10391,0.094,528.35
54.62976,84465,493545521152,2555.55,3969.85,6.977052,471718232064,0.12765001,156304000,0.74297,0.17684999,279.732,11.287948,9029900288,57.8,6.668,13948600320,89.354,546300032,70738403328,1.251,0.056,0.046,0.18576999,0.15736,3157.6
24.11681,1335849,88600453120,177.65,344.9,0.70848906,100844904448,0.02942,261667008,0.52604,0.20702,180.938,1.8713592,3679699968,14.04,0.806,21783099392,83.239,33617500160,125055500288,69.398,38.375,2.079,0.06534,0.03973,338.6
9.009023,417827,74918838272,279.5,565.25,1.3375211,70465118208,0.14850001,133999000,0.71696997,0.06898,356.203,1.5696105,8318000128,62.06,1.258,6916499968,51.602,2441900032,56013201408,5.115,0.348,-0.084,0.1889,0.16431,559.1
57.820515,1296166,153909313536,121.5,250,3.5087762,140934840320,0.06083,620476992,0.58884,0.15396,78.92,3.1430564,2668100096,4.29,3.213,18276700160,29.476,5407200256,43864100864,11.028,0.163,-0.009,0.0701,0.049439996,248.05
34.49102,3009311,1959068303360,614.2,835,1.1518037,2524119040000,0.033180002,2426720000,0.6575,0.16667,273.233,2.9513273,56440000512,23.38,1.484,200819998720,83.523,818910003200,1700869963776,122.154,1.795,0.108,0.13654,0.09275,806.4
67.47458,211941,41684652032,291.3,401.85,1.0780737,32153737216,0.01564,104668000,0.75488997,0.010319999,120.525,3.303049,604684032,5.9,0.832,7861420032,75.015,149999008,38665863168,1.188,-0.969,-0.092,0.026010001,0.00896,398.1
16.41373,8690878,490001301504,135.15,208,1.7156669,672992395264,0.10191,2694500096,0.73897004,0.18985,83.264,2.1822155,29105999872,11.07,2.356,5962999808,2.213,195603005440,285603987456,87.192,1.825,0.026,0.38264,0.19607,181.7
33.419735,1340834,41025011712,104.6,201.95,1.3456187,44231770112,0.040159997,204868992,0.47749,0.1314,78.279,2.5530474,1224315008,5.98,1.451,694377984,3.389,3983124992,30487842816,24.837,-0.011,0.156,0.1197,0.072459996,199.85
9.586357,10461737,1273754419200,132.4,415.75,3.532733,1682971820032,0.40787,3856940032,0.75961,0.07064,42.557,7.7601805,134545498112,34.45,4.668,9607700480,2.491,423495303168,360557805568,141.753,0.891,-0.198,0.2198,0.12769,330.25
32.283024,1225297,527933997056,1096.05,1881,2.8850272,582563725312,0.08929,285000000,0.60733,0.27778,53.272,34.772488,16338899968,57.38,3.184,17962899456,63.028,85969199104,182990995456,555.141,-0.298,0.107,0.20721,0.10714,1852.4
35.84086,126158,30082306048,705.05,961.6,0.9274186,29489692672,0.02586,31577500,0.60034,0.09746,500.052,1.9051019,838800000,26.58,0.909,2065400064,65.367,1454000000,32436600832,9.206,2.692,-0.024,0.06554,0.039419997,952.65
5.702208,920288,39676370944,117.3,318.7,1.4340581,28769566720,0.2769,138414000,0.64333,0.061739996,157.367,1.8215381,7346699776,50.27,1.04,18411800576,132.215,7635500032,27667200000,32.327,1.04,-0.085,0.114350006,0.10993,286.65
33.410152,149028,20293451776,353.1,648.95,3.9493487,18876065792,0.121709995,31397600,0.46918,0.30698,235.468,2.739863,625390016,19.31,3.674,1087960064,34.623,324809984,5138429952,4.397,0.002,0.237,0.24469,0.13375,645.15
68.49505,772314,479865339904,987.95,1741,2.7782366,484955815936,0.04138,277331008,0.39222,0.28171,108.418,15.952148,7148100096,25.25,2.808,3524699904,12.707,8730099712,172722995200,29.046,0.635,0.322,0.0655,0.05703,1729.5
95.52631,34461308,1565408493568,95,128.7,0.6538547,2204511764480,0.0068,12321200128,0.35665,0.2927,84.345,1.5063133,16293900288,1.33,0.921,157599596544,12.895,848930471936,2394122878976,80.716,-0.918,-0.062,0.08243,0.047270004,127.05
38.02308,472702,3120863903744,8076.05,10397.95,2.529102,3133103931392,0.07861,302080000,0.56492,0.28166,2045.443,5.050862,96999997440,271.71,2.539,373000000,1.235,12472999936,1233981014016,2.018,1.437,0.22,0.09729,0.07428,10331.25
45.2921,359381,426418339840,3092.05,5572.9,4.849159,378504839168,0.1067,76925000,0.35397,0.38191003,578.682,9.579182,9382490112,122.39,4.304,7778990080,106.053,5898070016,87936557056,13.895,0.074,0.236,0.1697,0.14516,5543.3
71.538185,180490,577979875328,2295.05,3398.7,3.9660194,566130769920,0.06697,193271008,0.49141,0.31015,204.568,14.607123,8075899904,41.77,3.885,15327500288,79.367,11261899776,145732993024,22.726,0.119,0.031,0.13295001,0.10642,2988.15
11.427277,10715945,1759208538112,186.35,267,3.8474343,2986559668224,0.33271,6975450112,0.51356,0.32017,118.937,2.1204503,152129896448,22.07,6.532,73845800960,10.593,1302258647040,457241985024,156.871,-0.053,0.013,0.87617,0.58192,252.2
10.510968,193971,21198565376,231,399,0.80459124,21280790528,0.07651,53954100,0.76327,0.0034999999,347.125,1.131869,2015699968,37.38,0.808,2776699904,51.464,3405299968,26346999808,17.892,-0.177,-0.056,0.16845,0.1302,392.9
14.264942,346574,52533075968,400.3,983.6,0.65404,56383033344,0.04636,53816600,0.74928004,0.01058,347.731,2.8071988,3724100096,68.43,0.702,16300000,0.303,4177700096,80320897024,22.417,1.658,0.019,0.082329996,0.06753,976.15
35.864277,1137742,795480096768,695.55,982.5,7.838416,1077940912128,0.21923,946604032,0.69094,0.20007,103.904,8.087273,22248699904,23.43,10.622,9897900032,10.462,315321810944,101484797952,320.773,-0.055,0.12,0,0.29301,840.3
5.3464227,8550107,1459955433472,207.6,263.4,1.0516398,1029683412992,0.19667,6162749952,0.63135,0.25270998,92.889,2.5503557,273033707520,44.31,0.742,431061696512,69.947,43314200576,1388265734144,7.466,-0.098,0.018,0.252,0.21885,236.9
